,经度,纬度,连接顺序,块,名称
471,121.028473,31.141958,127.0,10.0,上海市
472,121.028778,31.141253,128.0,10.0,上海市
473,121.031164,31.141661,129.0,10.0,上海市
474,121.033089,31.142205,130.0,10.0,上海市
475,121.033594,31.141601,131.0,10.0,上海市
476,121.034169,31.141166,132.0,10.0,上海市
477,121.03612,31.140331,133.0,10.0,上海市
478,121.036259,31.137373,134.0,10.0,上海市
479,121.037234,31.137478,135.0,10.0,上海市
480,121.038105,31.137849,136.0,10.0,上海市
481,121.038645,31.136911,137.0,10.0,上海市
482,121.040769,31.137587,138.0,10.0,上海市
483,121.041814,31.138901,139.0,10.0,上海市
484,121.042824,31.141088,140.0,10.0,上海市
485,121.044775,31.145529,141.0,10.0,上海市
486,121.04353,31.146466,142.0,10.0,上海市
487,121.04239,31.146396,143.0,10.0,上海市
488,121.041545,31.146932,144.0,10.0,上海市
489,121.041476,31.149822,145.0,10.0,上海市
490,121.043435,31.150632,146.0,10.0,上海市
491,121.045254,31.151577,147.0,10.0,上海市
492,121.04542,31.154031,148.0,10.0,上海市
493,121.049129,31.15461,149.0,10.0,上海市
494,121.050104,31.151992,150.0,10.0,上海市
495,121.050269,31.150715,151.0,10.0,上海市
496,121.051888,31.150484,152.0,10.0,上海市
497,121.053837,31.150858,153.0,10.0,上海市
498,121.05583,31.15066,154.0,10.0,上海市
499,121.055656,31.151802,155.0,10.0,上海市
500,121.057379,31.15278,156.0,10.0,上海市
501,121.060407,31.15302,157.0,10.0,上海市
502,121.062556,31.153126,158.0,10.0,上海市
503,121.062696,31.152119,159.0,10.0,上海市
504,121.06407,31.152154,160.0,10.0,上海市
505,121.064139,31.150842,161.0,10.0,上海市
506,121.066062,31.150948,162.0,10.0,上海市
507,121.066097,31.149973,163.0,10.0,上海市
508,121.065418,31.149401,164.0,10.0,上海市
509,121.065722,31.148596,165.0,10.0,上海市
510,121.068445,31.148263,166.0,10.0,上海市
511,121.069123,31.148701,167.0,10.0,上海市
512,121.068949,31.149497,168.0,10.0,上海市
513,121.067776,31.152294,169.0,10.0,上海市
514,121.06848,31.152966,170.0,10.0,上海市
515,121.070906,31.153508,171.0,10.0,上海市
516,121.070567,31.155121,172.0,10.0,上海市
517,121.071411,31.155424,173.0,10.0,上海市
518,121.072046,31.15351,174.0,10.0,上海市
519,121.073028,31.153848,175.0,10.0,上海市
